zipcode,school_district
03827,Exeter Regional Cooperative School District
03830,Wakefield School District
03832,Eaton School District
03833,Exeter Regional Cooperative School District
03835,Farmington School District
03836,Freedom School District
03837,Gilmanton School District
03838,Bartlett School District
03839,Rochester School District
03840,Greenland School District
03841,Hampstead School District
03842,Winnacunnet Cooperative School District
03844,Winnacunnet Cooperative School District
03845,Bartlett School District
03846,Jackson School District
03847,Conway School District
03848,Sanborn Regional School District
03849,Madison School District
03850,Governor Wentworth Regional School District
03851,Milton School District
03852,Milton School District
03853,Governor Wentworth Regional School District
03854,New Castle School District
03855,Governor Wentworth Regional School District
03856,Exeter Regional Cooperative School District
03857,Newmarket School District
03858,Sanborn Regional School District
03860,Conway School District
03861,Oyster River Cooperative School District
03862,North Hampton School District
03864,Governor Wentworth Regional School District
03865,Timberlane Regional School District
03867,Rochester School District
03868,Rochester School District
03869,Rollinsford School District
03870,Rye School District
03871,Rye School District
03872,Wakefield School District
03873,Timberlane Regional School District
03874,Winnacunnet Cooperative School District
03875,Madison School District
03878,Somersworth School District
03882,Governor Wentworth Regional School District
03883,Tamworth School District
03884,Strafford School District
03885,Exeter Regional Cooperative School District
03886,Tamworth School District
03887,Middleton School District
03890,Governor Wentworth Regional School District
03894,Governor Wentworth Regional School District
03897,Tamworth School District
03901,School Administrative District 60
03902,York
03903,School Administrative District 35
03904,Kittery
03905,Kittery
03906,School Administrative District 60
03907,Wells-Ogunquit Community School District
03908,School Administrative District 35
03909,York
03910,York
03911,York
04001,Acton
04002,School Administrative District 57
04003,School Administrative District 75
04005,Biddeford
04006,Biddeford
04008,School Administrative District 75
04009,School Administrative District 61
04010,School Administrative District 72
04011,Brunswick
04015,School Administrative District 61
04017,Chebeague Island
04019,Portland
04020,School Administrative District 55
04021,School Administrative District 51
04022,School Administrative District 72
04024,School Administrative District 55
04027,School Administrative District 60
04029,Sebago Public Schools
04030,School Administrative District 57
04032,Regional School Unit 05
04037,School Administrative District 72
04038,Gorham
04039,School Administrative District 15
04040,School Administrative District 17
04041,School Administrative District 55
04042,School Administrative District 06
04043,Regional School Unit 21
04046,Regional School Unit 21
04047,School Administrative District 55
04048,School Administrative District 57
04049,School Administrative District 06
04050,Long Island
04051,School Administrative District 72
04055,School Administrative District 61
04056,School Administrative District 57
04057,School Administrative District 61
04061,School Administrative District 57
04062,Regional School Unit 14
04063,Regional School Unit 23
04064,Regional School Unit 23
04066,School Administrative District 75
04068,School Administrative District 55
04069,Regional School Unit 05
04071,Regional School Unit 14
04072,Saco Public Schools
04073,Sanford
04074,Scarborough
04076,School Administrative District 57
04079,School Administrative District 75
04083,Sanford
04084,School Administrative District 06
04085,School Administrative District 06
04086,School Administrative District 75
04087,School Administrative District 57
04088,School Administrative District 17
04090,Wells-Ogunquit Community School District
04091,School Administrative District 55
04092,Westbrook
04093,School Administrative District 06
04095,School Administrative District 57
04096,Yarmouth
04097,School Administrative District 51
04101,Portland
04102,Portland
04103,Portland
04105,Falmouth
04106,South Portland
04107,Cape Elizabeth
04108,Portland
04109,Portland
04110,School Administrative District 51
04210,Auburn
04216,Oxford Unorganized Territory
04217,Oxford Unorganized Territory
04219,School Administrative District 44
04220,Regional School Unit 10
04221,Regional School Unit 56
04222,Regional School Unit 05
04224,Regional School Unit 56
04226,Andover Public Schools
04227,Regional School Unit 56
04231,School Administrative District 72
04234,Regional School Unit 09
04236,School Administrative District 52
04237,Regional School Unit 10
04238,School Administrative District 17
04239,Regional School Unit 73
04240,Lewiston
04250,Lisbon
04252,Lisbon
04253,Regional School Unit 73
04254,Regional School Unit 73
04255,School Administrative District 44
04256,Regional School Unit 16
04257,Regional School Unit 10
04258,Regional School Unit 16
04259,Regional School Unit 02
04260,School Administrative District 15
04261,Oxford Unorganized Territory
04263,School Administrative District 52
04265,Regional School Unit 02
04267,School Administrative District 17
04268,School Administrative District 17
04270,School Administrative District 17
04271,School Administrative District 17
04274,Regional School Unit 16
04275,Byron Public Schools
04276,Regional School Unit 10
04280,Regional School Unit 04
04281,School Administrative District 17
04282,School Administrative District 52
04284,Regional School Unit 38
04285,Regional School Unit 09
04286,School Administrative District 44
04287,School Administrative District 75
04289,School Administrative District 17
04290,Regional School Unit 56
04292,Regional School Unit 10
04294,Regional School Unit 09
04330,Augusta
04341,Regional School Unit 12
04342,Regional School Unit 02
04344,Regional School Unit 02
04345,School Administrative District 11
04346,School Administrative District 11
04347,Regional School Unit 02
